classification,Closed PnL,Size USD,Return %
Extreme Greed,2715171.310673,124465164.57,2.1814708718325524
Greed,2150129.272951,288582494.72,0.7450657306976238
Neutral,1292920.67555,180242063.08,0.7173246097256112
Fear,3357155.441642,483324789.79,0.6945961623654048
Extreme Fear,739110.24849,114484261.44,0.6455998747717475
